data,negozio,vendite
2025-01-01,milano,779.9
2025-01-02,milano,951.2
2025-01-03,milano,1003.5
2025-01-04,milano,1083.0
2025-01-05,milano,931.2
2025-01-06,milano,689.7
2025-01-07,milano,739.4
2025-01-08,milano,879.1
2025-01-09,milano,922.9
2025-01-10,milano,952.6
2025-01-11,milano,1148.1
2025-01-12,milano,1014.5
2025-01-13,milano,764.0
2025-01-14,milano,777.9
2025-01-15,milano,862.7
2025-01-16,milano,977.6
2025-01-17,milano,1103.2
2025-01-18,milano,1140.3
2025-01-19,milano,996.9
2025-01-20,milano,697.8
2025-01-21,milano,770.5
2025-01-22,milano,893.2
2025-01-23,milano,998.4
2025-01-24,milano,1040.2
2025-01-25,milano,1182.9
2025-01-26,milano,1068.4
2025-01-27,milano,792.0
2025-01-28,milano,795.1
2025-01-29,milano,851.4
2025-01-30,milano,1055.2
2025-01-31,milano,1018.2
2025-02-01,milano,1191.7
2025-02-02,milano,1019.6
2025-02-03,milano,776.0
2025-02-04,milano,782.7
2025-02-05,milano,937.9
2025-02-06,milano,1161.9
2025-02-07,milano,1084.7
2025-02-08,milano,1247.3
2025-02-09,milano,1045.8
2025-02-10,milano,785.3
2025-02-11,milano,848.8
2025-02-12,milano,947.4
2025-02-13,milano,1086.1
2025-02-14,milano,1110.0
2025-02-15,milano,1207.8
2025-02-16,milano,1127.6
2025-02-17,milano,785.7
2025-02-18,milano,906.1
2025-02-19,milano,952.1
2025-02-20,milano,1115.4
2025-02-21,milano,1125.6
2025-02-22,milano,1291.7
2025-02-23,milano,1107.8
2025-02-24,milano,861.1
2025-02-25,milano,856.7
2025-02-26,milano,1026.8
2025-02-27,milano,1130.8
2025-02-28,milano,1147.6
2025-03-01,milano,1252.9
2025-03-02,milano,1169.7
2025-03-03,milano,858.2
2025-03-04,milano,929.0
2025-03-05,milano,988.1
2025-03-06,milano,1144.2
2025-03-07,milano,1175.3
2025-03-08,milano,1304.2
2025-03-09,milano,1166.4
2025-03-10,milano,861.5
2025-03-11,milano,868.2
2025-03-12,milano,980.5
2025-03-13,milano,1126.9
2025-03-14,milano,1191.8
2025-03-15,milano,1359.0
2025-03-16,milano,1204.9
2025-03-17,milano,900.9
2025-03-18,milano,924.1
2025-03-19,milano,1048.0
2025-03-20,milano,1157.9
2025-03-21,milano,1209.7
2025-03-22,milano,1380.2
2025-03-23,milano,1173.5
2025-03-24,milano,852.4
2025-03-25,milano,971.7
2025-03-26,milano,1042.5
2025-03-27,milano,1193.7
2025-03-28,milano,1223.0
2025-03-29,milano,1295.4
2025-03-30,milano,1273.4
2025-03-31,milano,940.3
2025-04-01,milano,920.0
2025-04-02,milano,1066.6
2025-04-03,milano,1174.0
2025-04-04,milano,1173.2
2025-04-05,milano,1337.6
2025-04-06,milano,1213.1
2025-04-07,milano,923.5
2025-04-08,milano,942.2
2025-04-09,milano,1049.2
2025-04-10,milano,1220.2
2025-04-11,milano,1183.2
2025-04-12,milano,1373.8
2025-04-13,milano,1242.6
2025-04-14,milano,880.1
2025-04-15,milano,862.9
2025-04-16,milano,1020.9
2025-04-17,milano,1187.5
2025-04-18,milano,1229.3
2025-04-19,milano,1403.1
2025-04-20,milano,1176.5
2025-04-21,milano,890.6
2025-04-22,milano,943.7
2025-04-23,milano,1046.8
2025-04-24,milano,1104.0
2025-04-25,milano,1240.4
2025-04-26,milano,1430.8
2025-04-27,milano,1243.7
2025-04-28,milano,859.3
2025-04-29,milano,907.7
2025-04-30,milano,1058.7
2025-05-01,milano,1263.4
2025-05-02,milano,1234.2
2025-05-03,milano,1359.4
2025-05-04,milano,1261.4
2025-05-05,milano,883.8
2025-05-06,milano,979.4
2025-05-07,milano,1026.6
2025-05-08,milano,1164.5
2025-05-09,milano,1235.9
2025-05-10,milano,1401.4
2025-05-11,milano,1229.5
2025-05-12,milano,891.7
2025-05-13,milano,853.9
2025-05-14,milano,1021.7
2025-05-15,milano,1156.7
2025-05-16,milano,1191.4
2025-05-17,milano,1371.3
2025-05-18,milano,1193.2
2025-05-19,milano,901.4
2025-05-20,milano,910.1
2025-05-21,milano,1028.6
2025-05-22,milano,1175.8
2025-05-23,milano,1218.1
2025-05-24,milano,1376.1
2025-05-25,milano,1183.3
2025-05-26,milano,860.3
2025-05-27,milano,855.1
2025-05-28,milano,1085.2
2025-05-29,milano,1213.3
2025-05-30,milano,1192.0
2025-05-31,milano,1326.9
2025-06-01,milano,1151.9
