data,vendite,promo,meteo
2025-01-01,732.0,0,12.9
2025-01-02,886.1,0,12.8
2025-01-03,951.6,0,12.1
2025-01-04,733.1,0,8.4
2025-01-05,717.0,0,11.6
2025-01-06,687.1,0,16.6
2025-01-07,680.2,0,13.4
2025-01-08,770.3,0,13.0
2025-01-09,865.9,0,8.5
2025-01-10,891.9,0,14.6
2025-01-11,852.2,0,9.8
2025-01-12,985.5,1,14.5
2025-01-13,667.2,0,12.9
2025-01-14,722.2,0,13.6
2025-01-15,1084.4,1,13.6
2025-01-16,916.7,0,12.6
2025-01-17,1188.4,1,13.0
2025-01-18,825.1,0,16.3
2025-01-19,1032.1,1,12.8
2025-01-20,664.4,0,13.2
2025-01-21,993.4,1,19.0
2025-01-22,786.0,0,14.3
2025-01-23,889.8,0,14.1
2025-01-24,944.3,0,13.5
2025-01-25,919.5,0,17.0
2025-01-26,766.5,0,18.6
2025-01-27,739.8,0,14.5
2025-01-28,1000.1,1,17.0
2025-01-29,802.0,0,16.3
2025-01-30,891.9,0,18.2
2025-01-31,1220.9,1,17.1
2025-02-01,1141.7,1,16.4
2025-02-02,780.0,0,15.1
2025-02-03,660.9,0,17.8
2025-02-04,759.3,0,16.5
2025-02-05,1105.8,1,15.1
2025-02-06,890.9,0,18.5
2025-02-07,967.9,0,19.7
2025-02-08,875.9,0,17.5
2025-02-09,764.2,0,14.7
2025-02-10,708.7,0,17.5
2025-02-11,740.9,0,20.6
2025-02-12,838.6,0,17.5
2025-02-13,951.8,0,21.1
2025-02-14,952.1,0,19.5
2025-02-15,882.4,0,18.1
2025-02-16,1099.2,1,19.2
2025-02-17,783.3,0,17.0
2025-02-18,758.5,0,18.4
2025-02-19,921.9,0,22.3
2025-02-20,922.7,0,17.2
2025-02-21,956.8,0,24.9
2025-02-22,898.5,0,19.0
2025-02-23,865.8,0,18.9
2025-02-24,700.6,0,16.6
2025-02-25,763.0,0,19.4
2025-02-26,1221.0,1,22.7
2025-02-27,934.2,0,19.4
2025-02-28,955.9,0,20.3
2025-03-01,917.7,0,20.6
2025-03-02,816.3,0,19.5
2025-03-03,741.6,0,19.6
2025-03-04,817.5,0,20.5
2025-03-05,866.9,0,20.5
2025-03-06,1048.9,0,24.0
2025-03-07,988.8,0,19.0
2025-03-08,876.8,0,19.8
2025-03-09,798.4,0,14.7
2025-03-10,748.1,0,22.5
2025-03-11,739.0,0,17.3
2025-03-12,866.2,0,19.2
2025-03-13,986.3,0,21.1
2025-03-14,990.6,0,24.1
2025-03-15,913.9,0,21.5
2025-03-16,848.7,0,22.5
